"param","avoid_crowd_est_sig_mean","avoid_crowd_pval_mean","avoid_crowd_confint_mean","avoid_crowd_est_sig_var","avoid_crowd_pval_var","avoid_crowd_confint_var","contain_protest_est_sig_mean","contain_protest_pval_mean","contain_protest_confint_mean","contain_protest_est_sig_var","contain_protest_pval_var","contain_protest_confint_var","days_left_house_est_sig_mean","days_left_house_pval_mean","days_left_house_confint_mean","days_left_house_est_sig_var","days_left_house_pval_var","days_left_house_confint_var","face_mask_est_sig_mean","face_mask_pval_mean","face_mask_confint_mean","face_mask_est_sig_var","face_mask_pval_var","face_mask_confint_var","frienfam_est_sig_mean","frienfam_pval_mean","frienfam_confint_mean","frienfam_est_sig_var","frienfam_pval_var","frienfam_confint_var","mandatory_quarantine_est_sig_mean","mandatory_quarantine_pval_mean","mandatory_quarantine_confint_mean","mandatory_quarantine_est_sig_var","mandatory_quarantine_pval_var","mandatory_quarantine_confint_var","mandatory_vaccination_est_sig_mean","mandatory_vaccination_pval_mean","mandatory_vaccination_confint_mean","mandatory_vaccination_est_sig_var","mandatory_vaccination_pval_var","mandatory_vaccination_confint_var","quarantine_est_sig_mean","quarantine_pval_mean","quarantine_confint_mean","quarantine_est_sig_var","quarantine_pval_var","quarantine_confint_var","social_contact_others_est_sig_mean","social_contact_others_pval_mean","social_contact_others_confint_mean","social_contact_others_est_sig_var","social_contact_others_pval_var","social_contact_others_confint_var","wash_hands_est_sig_mean","wash_hands_pval_mean","wash_hands_confint_mean","wash_hands_est_sig_var","wash_hands_pval_var","wash_hands_confint_var","willingness_vaccinated_est_sig_mean","willingness_vaccinated_pval_mean","willingness_vaccinated_confint_mean","willingness_vaccinated_est_sig_var","willingness_vaccinated_pval_var","willingness_vaccinated_confint_var"
"education","-0.01",0.37,"[-0.04,  0.02]","0.02",0.72,"[-0.07,  0.10]","0.01",0.7,"[-0.05,  0.07]","0.01",0.92,"[-0.18,  0.20]","-0.00",0.83,"[-0.02,  0.02]","0.00",0.89,"[-0.02,  0.03]","-0.03",0.31,"[-0.09,  0.03]","0.01",0.97,"[-0.44,  0.46]","0.01",0.7,"[-0.06,  0.09]","0.09",0.38,"[-0.11,  0.28]","-0.01",0.38,"[-0.04,  0.02]","0.00",0.96,"[-0.10,  0.11]","-0.00",0.8,"[-0.04,  0.03]","0.00",0.95,"[-0.09,  0.09]","0.02",0.35,"[-0.02,  0.05]","0.00",0.94,"[-0.10,  0.11]","-0.00",0.95,"[-0.08,  0.07]","0.05",0.46,"[-0.08,  0.19]","0.00",0.83,"[-0.04,  0.04]","0.00",0.98,"[-0.11,  0.11]","-0.11",0.47,"[-0.40,  0.19]","0.01",0.98,"[-0.70,  0.72]"
"employment_status","-0.01",0.78,"[-0.06,  0.05]","0.01",0.9,"[-0.16,  0.18]",NA,NA,NA,NA,NA,NA,"0.13***",0,"[ 0.08,  0.18]","0.05",0.26,"[-0.04,  0.14]",NA,NA,NA,NA,NA,NA,"0.09",0.26,"[-0.06,  0.23]","0.39",0.12,"[-0.10,  0.87]","-0.02",0.65,"[-0.11,  0.07]","0.01",0.95,"[-0.21,  0.23]","0.02",0.71,"[-0.07,  0.10]","0.01",0.87,"[-0.16,  0.18]","-0.09**",0.01,"[-0.16, -0.03]","0.01",0.95,"[-0.22,  0.23]","0.48***",0,"[ 0.29,  0.66]","0.85***",0,"[ 0.39,  1.31]","0.03",0.54,"[-0.06,  0.12]","0.00",0.99,"[-0.33,  0.34]","0.00",0.99,"[-0.05,  0.05]","0.01",0.95,"[-0.30,  0.32]"
"face_mask",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.02***",0,"[ 1.83,  2.21]","0.11",0.79,"[-0.72,  0.95]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frienfam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.04***",0,"[ 0.92,  1.17]","0.75***",0,"[ 0.60,  0.90]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gender","-0.05*",0.04,"[-0.10, -0.00]","0.00",0.96,"[-0.09,  0.10]","0.10",0.34,"[-0.10,  0.29]","0.02",0.96,"[-0.84,  0.89]","0.02",0.46,"[-0.03,  0.07]","0.01",0.81,"[-0.05,  0.06]","-0.10",0.3,"[-0.27,  0.08]","0.01",0.98,"[-0.90,  0.92]","0.16*",0.02,"[ 0.03,  0.29]","0.17",0.24,"[-0.11,  0.45]","-0.08*",0.05,"[-0.17, -0.00]","0.01",0.95,"[-0.20,  0.22]","0.10",0.09,"[-0.01,  0.20]","0.00",0.98,"[-0.43,  0.44]","-0.05",0.24,"[-0.13,  0.03]","0.01",0.94,"[-0.20,  0.22]","0.10",0.21,"[-0.05,  0.24]","0.13",0.33,"[-0.13,  0.40]","-0.01",0.82,"[-0.13,  0.11]","0.00",1,"[-0.42,  0.42]","-0.02",0.69,"[-0.12,  0.08]","0.00",0.92,"[-0.02,  0.03]"
"mandatory_quarantine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.66***",0,"[ 0.58,  0.74]","0.19***",0,"[ 0.12,  0.26]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mandatory_vaccination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.36***",0,"[ 1.25,  1.47]","0.13*",0.02,"[ 0.02,  0.24]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"political_view",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.06***",0,"[ 0.65,  1.47]","0.34**",0,"[ 0.10,  0.59]"
"politx","-0.01",0.6,"[-0.05,  0.03]","0.00",0.96,"[-0.03,  0.03]","0.00",0.88,"[-0.05,  0.06]","0.00",0.99,"[-0.49,  0.49]","0.02*",0.04,"[ 0.00,  0.04]","0.00",0.86,"[-0.01,  0.02]","-0.02",0.68,"[-0.11,  0.07]","0.01",0.91,"[-0.14,  0.15]","0.04",0.15,"[-0.01,  0.09]","0.05",0.41,"[-0.07,  0.17]","0.01",0.62,"[-0.03,  0.05]","0.00",0.95,"[-0.08,  0.08]","-0.04*",0.03,"[-0.08, -0.00]","0.01",0.89,"[-0.08,  0.09]","-0.00",0.94,"[-0.06,  0.06]","0.00",0.91,"[-0.05,  0.06]","0.01",0.73,"[-0.05,  0.07]","0.03",0.77,"[-0.15,  0.20]","0.00",0.92,"[-0.03,  0.03]","0.00",0.99,"[-0.12,  0.12]","-0.03",0.74,"[-0.18,  0.13]","0.00",0.98,"[-0.28,  0.29]"
"polity","0.04**",0,"[ 0.01,  0.06]","0.00",0.82,"[-0.03,  0.04]","-0.01",0.62,"[-0.07,  0.04]","0.00",1,"[-0.85,  0.85]","0.02",0.06,"[ 0.00,  0.04]","0.00",0.87,"[-0.02,  0.02]","0.06",0.38,"[-0.07,  0.19]","0.01",0.94,"[-0.23,  0.25]","0.02",0.7,"[-0.06,  0.10]","0.01",0.85,"[-0.09,  0.11]","0.05*",0.02,"[ 0.01,  0.09]","0.00",0.98,"[-0.12,  0.12]","-0.00",0.82,"[-0.05,  0.04]","0.00",0.95,"[-0.08,  0.09]","0.03",0.22,"[-0.02,  0.07]","0.00",0.95,"[-0.08,  0.08]","0.01",0.85,"[-0.06,  0.07]","0.01",0.89,"[-0.20,  0.23]","0.02",0.12,"[-0.01,  0.05]","0.00",0.95,"[-0.07,  0.07]","0.04",0.72,"[-0.20,  0.29]","0.15",0.79,"[-0.97,  1.27]"
